epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
99.0,9.0,23.0,10.0,1389.0,60.391304,-48.0,-48.0,,,1426.2268,0.001,,0.001,4.0650373,
100.0,20.0,23.0,10.0,1409.0,61.260868,-59.0,-53.5,,,1426.2268,0.001,,0.001,4.0650373,
101.0,10.0,23.0,10.0,1419.0,61.695652,71.0,-12.0,,,1426.2268,0.001,,0.001,4.0650373,
102.0,20.0,23.0,10.0,1439.0,62.565216,-59.0,-23.75,,,1426.2268,0.001,,0.001,4.0650373,
103.0,6.0,24.0,10.0,1445.0,60.208332,75.0,-4.0,,,1426.2268,0.001,,0.001,4.0650373,
104.0,9.0,24.0,10.0,1454.0,60.583332,72.0,8.666667,,,1426.2268,0.001,,0.001,4.0650373,
105.0,9.0,24.0,10.0,1463.0,60.958332,72.0,17.714285,,,1426.2268,0.001,,0.001,4.0650373,
106.0,2.0,24.0,10.0,1465.0,61.041668,-41.0,10.375,,,1426.2268,0.001,,0.001,4.0650373,
107.0,20.0,24.0,10.0,1485.0,61.875,-59.0,2.6666667,,,1426.2268,0.001,,0.001,4.0650373,
108.0,16.0,24.0,10.0,1501.0,62.541668,65.0,8.9,,,1426.2268,0.001,,0.001,4.0650373,
109.0,20.0,25.0,10.0,1521.0,60.84,-59.0,2.7272727,,,1426.2268,0.001,,0.001,4.0650373,
110.0,3.0,25.0,10.0,1524.0,60.96,-42.0,-1.0,,,1426.2268,0.001,,0.001,4.0650373,
111.0,20.0,25.0,10.0,1544.0,61.76,-59.0,-5.4615383,,,1426.2268,0.001,,0.001,4.0650373,
112.0,20.0,26.0,10.0,1564.0,60.153847,-59.0,-9.285714,,,1426.2268,0.001,,0.001,4.0650373,
113.0,2.0,26.0,10.0,1566.0,60.23077,79.0,-3.4,,,1426.2268,0.001,,0.001,4.0650373,
114.0,16.0,26.0,10.0,1582.0,60.846153,65.0,0.875,,,1426.2268,0.001,,0.001,4.0650373,
115.0,20.0,26.0,10.0,1602.0,61.615383,-59.0,-2.6470587,,,1426.2268,0.001,,0.001,4.0650373,
116.0,20.0,27.0,10.0,1622.0,60.074074,-59.0,-5.7777777,,,1426.2268,0.001,,0.001,4.0650373,
117.0,20.0,28.0,10.0,1642.0,58.642857,-59.0,-8.578947,,,1426.2268,0.001,,0.001,4.0650373,
118.0,6.0,28.0,10.0,1648.0,58.857143,75.0,-4.4,,,1426.2268,0.001,,0.001,4.0650373,
119.0,20.0,28.0,10.0,1668.0,59.57143,-59.0,-7.0,,,1426.2268,0.001,,0.001,4.0650373,
120.0,20.0,29.0,10.0,1688.0,58.206898,-59.0,-9.363636,,,1426.2268,0.001,,0.001,4.0650373,
121.0,6.0,29.0,10.0,1694.0,58.41379,75.0,-5.695652,,,1426.2268,0.001,,0.001,4.0650373,
122.0,20.0,29.0,10.0,1714.0,59.103447,-59.0,-7.9166665,,,1426.2268,0.001,,0.001,4.0650373,
123.0,20.0,30.0,10.0,1734.0,57.8,-59.0,-9.96,,,1426.2268,0.001,,0.001,4.0650373,
124.0,5.0,30.0,10.0,1739.0,57.966667,76.0,-6.6538463,,,1426.2268,0.001,,0.001,4.0650373,
125.0,1.0,30.0,10.0,1740.0,58.0,80.0,-3.4444444,,,1426.2268,0.001,,0.001,4.0650373,
126.0,20.0,30.0,10.0,1760.0,58.666668,-59.0,-5.428571,,,1426.2268,0.001,,0.001,4.0650373,
127.0,11.0,30.0,10.0,1771.0,59.033333,-50.0,-6.965517,,,1426.2268,0.001,,0.001,4.0650373,
128.0,20.0,30.0,10.0,1791.0,59.7,-59.0,-8.7,,,1426.2268,0.001,,0.001,4.0650373,
129.0,7.0,30.0,10.0,1798.0,59.933334,74.0,-6.032258,,,1426.2268,0.001,,0.001,4.0650373,
130.0,11.0,30.0,10.0,1809.0,60.3,70.0,-3.65625,,,1426.2268,0.001,,0.001,4.0650373,
131.0,20.0,31.0,10.0,1829.0,59.0,-59.0,-5.3333335,,,1426.2268,0.001,,0.001,4.0650373,
132.0,4.0,31.0,10.0,1833.0,59.129032,-43.0,-6.4411764,,,1426.2268,0.001,,0.001,4.0650373,
133.0,10.0,31.0,10.0,1843.0,59.451614,-49.0,-7.6571426,,,1426.2268,0.001,,0.001,4.0650373,
134.0,1.0,31.0,10.0,1844.0,59.48387,80.0,-5.2222223,,,1426.2268,0.001,,0.001,4.0650373,
135.0,20.0,31.0,10.0,1864.0,60.129032,-59.0,-6.675676,,,1426.2268,0.001,,0.001,4.0650373,
136.0,20.0,31.0,10.0,1884.0,60.774193,-59.0,-8.052631,,,1426.2268,0.001,,0.001,4.0650373,
137.0,7.0,31.0,10.0,1891.0,61.0,-46.0,-9.025641,,,1426.2268,0.001,,0.001,4.0650373,
138.0,20.0,31.0,10.0,1911.0,61.64516,-59.0,-10.275,,,1426.2268,0.001,,0.001,4.0650373,
139.0,20.0,32.0,10.0,1931.0,60.34375,-59.0,-11.463414,,,1426.2268,0.001,,0.001,4.0650373,
140.0,12.0,32.0,10.0,1943.0,60.71875,69.0,-9.547619,,,1426.2268,0.001,,0.001,4.0650373,
141.0,20.0,32.0,10.0,1963.0,61.34375,-59.0,-10.697675,,,1426.2268,0.001,,0.001,4.0650373,
142.0,11.0,33.0,10.0,1974.0,59.81818,70.0,-8.863636,,,1426.2268,0.001,,0.001,4.0650373,
143.0,16.0,33.0,10.0,1990.0,60.303032,65.0,-7.2222223,,,1426.2268,0.001,,0.001,4.0650373,
144.0,20.0,59.0,10.0,2010.0,34.067795,-49.0,-8.130435,,,1426.2268,0.001,,0.001,4.0650373,
145.0,12.0,59.0,10.0,2022.0,34.271187,-51.0,-9.042553,,,1426.2268,0.001,,0.001,4.0650373,
146.0,16.0,59.0,10.0,2038.0,34.542374,65.0,-7.5,,,1426.2268,0.001,,0.001,4.0650373,
147.0,1.0,59.0,10.0,2039.0,34.559322,-40.0,-8.163265,,,1426.2268,0.001,,0.001,4.0650373,
148.0,20.0,59.0,10.0,2059.0,34.898304,-59.0,-9.18,,,1426.2268,0.001,,0.001,4.0650373,
149.0,20.0,60.0,10.0,2079.0,34.65,-59.0,-10.156863,,,1426.2268,0.001,,0.001,4.0650373,
150.0,4.0,60.0,10.0,2083.0,34.716667,77.0,-8.480769,,,1426.2268,0.001,,0.001,4.0650373,
151.0,20.0,60.0,10.0,2103.0,35.05,-59.0,-9.433962,,,1426.2268,0.001,,0.001,4.0650373,
152.0,20.0,61.0,10.0,2123.0,34.80328,-59.0,-10.351851,,,1426.2268,0.001,,0.001,4.0650373,
153.0,6.0,61.0,10.0,2129.0,34.901638,75.0,-8.8,,,1426.2268,0.001,,0.001,4.0650373,
154.0,20.0,61.0,10.0,2149.0,35.229507,-59.0,-9.696428,,,1426.2268,0.001,,0.001,4.0650373,
155.0,2.0,61.0,10.0,2151.0,35.262295,79.0,-8.140351,,,1426.2268,0.001,,0.001,4.0650373,
156.0,7.0,61.0,10.0,2158.0,35.37705,74.0,-6.724138,,,1426.2268,0.001,,0.001,4.0650373,
157.0,1.0,61.0,10.0,2159.0,35.393444,80.0,-5.254237,,,1426.2268,0.001,,0.001,4.0650373,
158.0,20.0,61.0,10.0,2179.0,35.72131,-59.0,-6.15,,,1426.2268,0.001,,0.001,4.0650373,
159.0,15.0,61.0,10.0,2194.0,35.967213,66.0,-4.967213,,,1426.2268,0.001,,0.001,4.0650373,
160.0,20.0,62.0,10.0,2214.0,35.70968,-59.0,-5.83871,,,1426.2268,0.001,,0.001,4.0650373,
161.0,18.0,62.0,10.0,2232.0,36.0,63.0,-4.7460318,,,1426.2268,0.001,,0.001,4.0650373,
162.0,11.0,63.0,10.0,2243.0,35.603176,70.0,-3.578125,,,1426.2268,0.001,,0.001,4.0650373,
163.0,20.0,63.0,10.0,2263.0,35.920635,-59.0,-4.4307694,,,1426.2268,0.001,,0.001,4.0650373,
164.0,17.0,63.0,10.0,2280.0,36.190475,64.0,-3.3939395,,,1426.2268,0.001,,0.001,4.0650373,
165.0,20.0,63.0,10.0,2300.0,36.50794,-59.0,-4.223881,,,1426.2268,0.001,,0.001,4.0650373,
166.0,20.0,63.0,10.0,2320.0,36.825397,-59.0,-5.029412,,,1426.2268,0.001,,0.001,4.0650373,
167.0,20.0,64.0,10.0,2340.0,36.5625,-59.0,-5.811594,,,1426.2268,0.001,,0.001,4.0650373,
168.0,7.0,64.0,10.0,2347.0,36.671875,74.0,-4.6714287,,,1426.2268,0.001,,0.001,4.0650373,
169.0,8.0,64.0,10.0,2355.0,36.796875,-47.0,-5.267606,,,1426.2268,0.001,,0.001,4.0650373,
170.0,5.0,64.0,10.0,2360.0,36.875,76.0,-4.138889,,,1426.2268,0.001,,0.001,4.0650373,
171.0,20.0,65.0,10.0,2380.0,36.615383,-59.0,-4.890411,,,1426.2268,0.001,,0.001,4.0650373,
