epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
10.0,13.0,2.0,2500.0,203.0,101.5,68.0,68.0,,,89.8185,0.001,0.09996346,,,
11.0,20.0,2.0,2500.0,223.0,111.5,-59.0,4.5,,,89.8185,0.001,0.09995986,,,
12.0,20.0,2.0,2500.0,243.0,121.5,-59.0,-16.666666,,,89.8185,0.001,0.09995626,,,
13.0,20.0,2.0,2500.0,263.0,131.5,-59.0,-27.25,,,89.8185,0.001,0.09995266,,,
14.0,20.0,2.0,2500.0,283.0,141.5,-59.0,-33.6,,,89.8185,0.001,0.09994906,,,
15.0,20.0,3.0,2500.0,303.0,101.0,-59.0,-37.833332,,,89.8185,0.001,0.09994546,,,
16.0,20.0,3.0,2500.0,323.0,107.666664,-59.0,-40.857143,,,89.8185,0.001,0.09994186,,,
17.0,20.0,3.0,2500.0,343.0,114.333336,-59.0,-43.125,,,89.8185,0.001,0.09993826,,,
18.0,20.0,3.0,2500.0,363.0,121.0,-59.0,-44.88889,,,89.8185,0.001,0.09993466,,,
19.0,20.0,3.0,2500.0,383.0,127.666664,-59.0,-46.3,,,89.8185,0.001,0.09993106,,,
20.0,20.0,5.0,5000.0,403.0,80.6,-59.0,-47.454544,,,167.8842,0.001,0.09992746,,,
21.0,20.0,5.0,5000.0,423.0,84.6,-59.0,-48.416668,,,167.8842,0.001,0.09992386,,,
22.0,20.0,5.0,5000.0,443.0,88.6,-59.0,-49.23077,,,167.8842,0.001,0.09992026,,,
23.0,20.0,5.0,5000.0,463.0,92.6,-59.0,-49.92857,,,167.8842,0.001,0.09991666,,,
24.0,20.0,5.0,5000.0,483.0,96.6,-59.0,-50.533333,,,167.8842,0.001,0.09991306,,,
25.0,20.0,5.0,5000.0,503.0,100.6,-59.0,-51.0625,,,167.8842,0.001,0.09990946,,,
26.0,20.0,5.0,5000.0,523.0,104.6,-59.0,-51.52941,,,167.8842,0.001,0.09990586,,,
27.0,20.0,5.0,5000.0,543.0,108.6,-59.0,-51.944443,,,167.8842,0.001,0.09990226,,,
28.0,1.0,5.0,5000.0,544.0,108.8,80.0,-45.0,,,167.8842,0.001,0.09990208,,,
29.0,20.0,5.0,5000.0,564.0,112.8,-59.0,-45.7,,,167.8842,0.001,0.09989848,,,
30.0,20.0,6.0,5000.0,584.0,97.333336,-59.0,-46.333332,,,167.8842,0.001,0.09989488,,,
31.0,19.0,7.0,7500.0,603.0,86.14286,62.0,-41.409092,,,163.55875,0.001,0.09989146,,,
32.0,20.0,8.0,7500.0,623.0,77.875,-59.0,-42.173912,,,163.55875,0.001,0.09988786,,,
33.0,20.0,8.0,7500.0,643.0,80.375,-59.0,-42.875,,,163.55875,0.001,0.09988426,,,
34.0,20.0,8.0,7500.0,663.0,82.875,-59.0,-43.52,,,163.55875,0.001,0.09988066,,,
35.0,20.0,8.0,7500.0,683.0,85.375,-59.0,-44.115383,,,163.55875,0.001,0.09987706,,,
36.0,20.0,8.0,7500.0,703.0,87.875,-59.0,-44.666668,,,163.55875,0.001,0.09987346,,,
37.0,20.0,8.0,7500.0,723.0,90.375,-59.0,-45.17857,,,163.55875,0.001,0.09986986,,,
38.0,20.0,9.0,7500.0,743.0,82.55556,-59.0,-45.655174,,,163.55875,0.001,0.09986626,,,
39.0,20.0,9.0,7500.0,763.0,84.77778,-59.0,-46.1,,,163.55875,0.001,0.09986266,,,
40.0,20.0,9.0,7500.0,783.0,87.0,-59.0,-46.51613,,,163.55875,0.001,0.09985906,,,
41.0,20.0,11.0,10000.0,803.0,73.0,-59.0,-46.90625,,,151.65575,0.001,0.09985546,,,
42.0,20.0,11.0,10000.0,823.0,74.818184,-59.0,-47.272728,,,151.65575,0.001,0.09985186,,,
43.0,20.0,11.0,10000.0,843.0,76.63636,-59.0,-47.617645,,,151.65575,0.001,0.09984826,,,
44.0,20.0,11.0,10000.0,863.0,78.454544,-59.0,-47.942856,,,151.65575,0.001,0.09984466,,,
45.0,20.0,11.0,10000.0,883.0,80.27273,-59.0,-48.25,,,151.65575,0.001,0.09984106,,,
46.0,20.0,11.0,10000.0,903.0,82.09091,-59.0,-48.54054,,,151.65575,0.001,0.09983746,,,
47.0,20.0,11.0,10000.0,923.0,83.90909,-59.0,-48.81579,,,151.65575,0.001,0.09983386,,,
48.0,20.0,12.0,10000.0,943.0,78.583336,-59.0,-49.076923,,,151.65575,0.001,0.09983026,,,
49.0,2.0,12.0,10000.0,945.0,78.75,79.0,-45.875,,,151.65575,0.001,0.0998299,,,
50.0,20.0,12.0,10000.0,965.0,80.416664,-59.0,-46.19512,,,151.65575,0.001,0.0998263,,,
51.0,20.0,12.0,10000.0,985.0,82.083336,-59.0,-46.5,,,151.65575,0.001,0.0998227,,,
52.0,20.0,27.0,12500.0,1005.0,37.22222,-44.0,-46.44186,,,161.1464,0.001,0.0998191,,,
53.0,20.0,27.0,12500.0,1025.0,37.962963,-59.0,-46.727272,,,161.1464,0.001,0.0998155,,,
54.0,20.0,28.0,12500.0,1045.0,37.32143,-59.0,-47.0,,,161.1464,0.001,0.0998119,,,
55.0,20.0,28.0,12500.0,1065.0,38.035713,-59.0,-47.260868,,,161.1464,0.001,0.0998083,,,
56.0,20.0,28.0,12500.0,1085.0,38.75,-59.0,-47.51064,,,161.1464,0.001,0.0998047,,,
57.0,20.0,28.0,12500.0,1105.0,39.464287,-59.0,-47.75,,,161.1464,0.001,0.0998011,,,
58.0,20.0,29.0,12500.0,1125.0,38.793102,-59.0,-47.97959,,,161.1464,0.001,0.0997975,,,
59.0,20.0,29.0,12500.0,1145.0,39.482758,-59.0,-48.2,,,161.1464,0.001,0.0997939,,,
60.0,20.0,29.0,12500.0,1165.0,40.172413,-59.0,-48.411766,,,161.1464,0.001,0.0997903,,,
