epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
10.0,20.0,9.0,2500.0,210.0,23.333334,-376.84857,-376.84857,,,95.01706,0.001,0.0999622,,,
11.0,20.0,9.0,2500.0,230.0,25.555555,-397.93347,-387.39102,,,95.01706,0.001,0.0999586,,,
12.0,20.0,9.0,2500.0,250.0,27.777779,-292.56158,-355.78122,,,95.01706,0.001,0.099955,,,
13.0,20.0,9.0,2500.0,270.0,30.0,-278.82364,-336.5418,,,95.01706,0.001,0.0999514,,,
14.0,20.0,9.0,2500.0,290.0,32.22222,-284.2078,-326.075,,,95.01706,0.001,0.0999478,,,
15.0,20.0,9.0,2500.0,310.0,34.444443,-302.171,-322.091,,,95.01706,0.001,0.0999442,,,
16.0,20.0,9.0,2500.0,330.0,36.666668,-377.44635,-329.99893,,,95.01706,0.001,0.0999406,,,
17.0,20.0,10.0,2500.0,350.0,35.0,-394.27777,-338.03375,,,95.01706,0.001,0.099937,,,
18.0,20.0,10.0,2500.0,370.0,37.0,-348.12582,-339.1551,,,95.01706,0.001,0.0999334,,,
19.0,20.0,10.0,2500.0,390.0,39.0,-92.38466,-314.47806,,,95.01706,0.001,0.0999298,,,
20.0,20.0,17.0,5000.0,410.0,24.117647,-413.54364,-323.484,,,71.92719,0.001,0.0999262,,,
21.0,20.0,18.0,5000.0,430.0,23.88889,-194.89839,-312.76855,,,71.92719,0.001,0.0999226,,,
22.0,20.0,18.0,5000.0,450.0,25.0,-133.67421,-298.99207,,,71.92719,0.001,0.099919,,,
23.0,20.0,18.0,5000.0,470.0,26.11111,-329.3876,-301.16318,,,71.92719,0.001,0.0999154,,,
24.0,20.0,18.0,5000.0,490.0,27.222221,-206.93896,-294.88156,,,71.92719,0.001,0.0999118,,,
25.0,20.0,18.0,5000.0,510.0,28.333334,-182.86035,-287.88025,,,71.92719,0.001,0.0999082,,,
