epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
10.0,20.0,11.0,2500.0,203.0,18.454546,-59.0,-59.0,,,73.59031,0.001,0.09996346,,,
11.0,20.0,11.0,2500.0,223.0,20.272728,-59.0,-59.0,,,73.59031,0.001,0.09995986,,,
12.0,20.0,11.0,2500.0,243.0,22.09091,-59.0,-59.0,,,73.59031,0.001,0.09995626,,,
13.0,20.0,11.0,2500.0,263.0,23.90909,-59.0,-59.0,,,73.59031,0.001,0.09995266,,,
14.0,20.0,11.0,2500.0,283.0,25.727272,-59.0,-59.0,,,73.59031,0.001,0.09994906,,,
15.0,20.0,11.0,2500.0,303.0,27.545454,-59.0,-59.0,,,73.59031,0.001,0.09994546,,,
16.0,20.0,11.0,2500.0,323.0,29.363636,-59.0,-59.0,,,73.59031,0.001,0.09994186,,,
17.0,20.0,11.0,2500.0,343.0,31.181818,-59.0,-59.0,,,73.59031,0.001,0.09993826,,,
18.0,20.0,11.0,2500.0,363.0,33.0,-59.0,-59.0,,,73.59031,0.001,0.09993466,,,
19.0,20.0,12.0,2500.0,383.0,31.916666,-59.0,-59.0,,,73.59031,0.001,0.09993106,,,
20.0,20.0,14.0,5000.0,403.0,28.785715,-59.0,-59.0,,,67.51364,0.001,0.09992746,,,
21.0,20.0,14.0,5000.0,423.0,30.214285,-59.0,-59.0,,,67.51364,0.001,0.09992386,,,
22.0,20.0,14.0,5000.0,443.0,31.642857,-59.0,-59.0,,,67.51364,0.001,0.09992026,,,
23.0,20.0,14.0,5000.0,463.0,33.07143,-59.0,-59.0,,,67.51364,0.001,0.09991666,,,
24.0,20.0,14.0,5000.0,483.0,34.5,-59.0,-59.0,,,67.51364,0.001,0.09991306,,,
25.0,20.0,14.0,5000.0,503.0,35.92857,-59.0,-59.0,,,67.51364,0.001,0.09990946,,,
26.0,20.0,15.0,5000.0,523.0,34.866665,-59.0,-59.0,,,67.51364,0.001,0.09990586,,,
27.0,20.0,15.0,5000.0,543.0,36.2,-59.0,-59.0,,,67.51364,0.001,0.09990226,,,
28.0,20.0,15.0,5000.0,563.0,37.533333,-59.0,-59.0,,,67.51364,0.001,0.09989866,,,
29.0,20.0,15.0,5000.0,583.0,38.866665,-59.0,-59.0,,,67.51364,0.001,0.09989506,,,
30.0,20.0,18.0,7500.0,603.0,33.5,-59.0,-59.0,,,66.210106,0.001,0.09989146,,,
31.0,20.0,18.0,7500.0,623.0,34.61111,-59.0,-59.0,,,66.210106,0.001,0.09988786,,,
32.0,20.0,18.0,7500.0,643.0,35.72222,-59.0,-59.0,,,66.210106,0.001,0.09988426,,,
33.0,20.0,18.0,7500.0,663.0,36.833332,-59.0,-59.0,,,66.210106,0.001,0.09988066,,,
34.0,20.0,18.0,7500.0,683.0,37.944443,-59.0,-59.0,,,66.210106,0.001,0.09987706,,,
35.0,20.0,18.0,7500.0,703.0,39.055557,-59.0,-59.0,,,66.210106,0.001,0.09987346,,,
36.0,20.0,18.0,7500.0,723.0,40.166668,-59.0,-59.0,,,66.210106,0.001,0.09986986,,,
37.0,20.0,19.0,7500.0,743.0,39.105263,-59.0,-59.0,,,66.210106,0.001,0.09986626,,,
38.0,20.0,19.0,7500.0,763.0,40.157894,-59.0,-59.0,,,66.210106,0.001,0.09986266,,,
39.0,20.0,19.0,7500.0,783.0,41.210526,-59.0,-59.0,,,66.210106,0.001,0.09985906,,,
40.0,20.0,21.0,10000.0,803.0,38.238094,-59.0,-59.0,,,70.33248,0.001,0.09985546,,,
41.0,20.0,21.0,10000.0,823.0,39.190475,-59.0,-59.0,,,70.33248,0.001,0.09985186,,,
