epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
12.0,20.0,11.0,2500.0,215.0,19.545454,-59.0,-59.0,,,70.974495,0.001,0.0999613,,,
13.0,20.0,11.0,2500.0,235.0,21.363636,-59.0,-59.0,,,70.974495,0.001,0.0999577,,,
14.0,20.0,11.0,2500.0,255.0,23.181818,-59.0,-59.0,,,70.974495,0.001,0.0999541,,,
15.0,20.0,11.0,2500.0,275.0,25.0,-59.0,-59.0,,,70.974495,0.001,0.0999505,,,
16.0,20.0,12.0,2500.0,295.0,24.583334,-59.0,-59.0,,,70.974495,0.001,0.0999469,,,
17.0,20.0,12.0,2500.0,315.0,26.25,-59.0,-59.0,,,70.974495,0.001,0.0999433,,,
18.0,20.0,12.0,2500.0,335.0,27.916666,-59.0,-59.0,,,70.974495,0.001,0.0999397,,,
19.0,20.0,12.0,2500.0,355.0,29.583334,-59.0,-59.0,,,70.974495,0.001,0.0999361,,,
20.0,20.0,12.0,2500.0,375.0,31.25,-59.0,-59.0,,,70.974495,0.001,0.0999325,,,
21.0,20.0,12.0,2500.0,395.0,32.916668,-59.0,-59.0,,,70.974495,0.001,0.0999289,,,
22.0,20.0,14.0,5000.0,415.0,29.642857,-59.0,-59.0,,,72.87374,0.001,0.0999253,,,
23.0,20.0,14.0,5000.0,435.0,31.071428,-59.0,-59.0,,,72.87374,0.001,0.0999217,,,
24.0,3.0,14.0,5000.0,438.0,31.285715,-42.0,-57.692307,,,72.87374,0.001,0.09992116,,,
25.0,20.0,14.0,5000.0,458.0,32.714287,-59.0,-57.785713,,,72.87374,0.001,0.09991756,,,
26.0,20.0,15.0,5000.0,478.0,31.866667,-59.0,-57.866665,,,72.87374,0.001,0.09991396,,,
27.0,20.0,15.0,5000.0,498.0,33.2,-59.0,-57.9375,,,72.87374,0.001,0.09991036,,,
