epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
10.0,20.0,17.0,2500.0,221.0,13.0,-59.0,-59.0,,,80.97989,0.001,0.09996022,,,
11.0,20.0,17.0,2500.0,241.0,14.176471,-59.0,-59.0,,,80.97989,0.001,0.09995662,,,
12.0,20.0,17.0,2500.0,261.0,15.3529415,-59.0,-59.0,,,80.97989,0.001,0.09995302,,,
13.0,20.0,17.0,2500.0,281.0,16.529411,-59.0,-59.0,,,80.97989,0.001,0.09994942,,,
14.0,20.0,17.0,2500.0,301.0,17.705883,-59.0,-59.0,,,80.97989,0.001,0.09994582,,,
15.0,20.0,17.0,2500.0,321.0,18.882353,-59.0,-59.0,,,80.97989,0.001,0.09994222,,,
16.0,20.0,17.0,2500.0,341.0,20.058823,-59.0,-59.0,,,80.97989,0.001,0.09993862,,,
17.0,20.0,17.0,2500.0,361.0,21.235294,-59.0,-59.0,,,80.97989,0.001,0.09993502,,,
18.0,20.0,17.0,2500.0,381.0,22.411764,-59.0,-59.0,,,80.97989,0.001,0.09993142,,,
19.0,20.0,18.0,2500.0,401.0,22.277779,-59.0,-59.0,,,80.97989,0.001,0.09992782,,,
20.0,20.0,22.0,5000.0,421.0,19.136364,-59.0,-59.0,,,69.50922,0.001,0.09992422,,,
21.0,20.0,22.0,5000.0,441.0,20.045454,-59.0,-59.0,,,69.50922,0.001,0.09992062,,,
22.0,13.0,22.0,5000.0,454.0,20.636364,-52.0,-58.46154,,,69.50922,0.001,0.09991828,,,
23.0,20.0,22.0,5000.0,474.0,21.545454,-59.0,-58.5,,,69.50922,0.001,0.09991468,,,
24.0,20.0,23.0,5000.0,494.0,21.47826,-59.0,-58.533333,,,69.50922,0.001,0.09991108,,,
25.0,20.0,23.0,5000.0,514.0,22.347826,-59.0,-58.5625,,,69.50922,0.001,0.09990748,,,
26.0,20.0,23.0,5000.0,534.0,23.217392,-59.0,-58.588234,,,69.50922,0.001,0.09990388,,,
27.0,20.0,23.0,5000.0,554.0,24.086956,-59.0,-58.61111,,,69.50922,0.001,0.09990028,,,
28.0,20.0,23.0,5000.0,574.0,24.956522,-59.0,-58.63158,,,69.50922,0.001,0.09989668,,,
29.0,20.0,23.0,5000.0,594.0,25.826086,-59.0,-58.65,,,69.50922,0.001,0.09989308,,,
30.0,20.0,28.0,7500.0,614.0,21.928572,-59.0,-58.666668,,,69.985794,0.001,0.09988948,,,
31.0,20.0,28.0,7500.0,634.0,22.642857,-59.0,-58.68182,,,69.985794,0.001,0.09988588,,,
32.0,20.0,28.0,7500.0,654.0,23.357143,-59.0,-58.695652,,,69.985794,0.001,0.09988228,,,
33.0,20.0,28.0,7500.0,674.0,24.071428,-59.0,-58.708332,,,69.985794,0.001,0.09987868,,,
34.0,20.0,28.0,7500.0,694.0,24.785715,-59.0,-58.72,,,69.985794,0.001,0.09987508,,,
35.0,20.0,28.0,7500.0,714.0,25.5,-59.0,-58.73077,,,69.985794,0.001,0.09987148,,,
36.0,20.0,28.0,7500.0,734.0,26.214285,-59.0,-58.74074,,,69.985794,0.001,0.09986788,,,
37.0,20.0,29.0,7500.0,754.0,26.0,-59.0,-58.75,,,69.985794,0.001,0.09986428,,,
38.0,20.0,29.0,7500.0,774.0,26.689655,-59.0,-58.75862,,,69.985794,0.001,0.09986068,,,
39.0,20.0,29.0,7500.0,794.0,27.37931,-59.0,-58.766666,,,69.985794,0.001,0.09985708,,,
40.0,20.0,33.0,10000.0,814.0,24.666666,-59.0,-58.774193,,,68.69521,0.001,0.09985348,,,
41.0,20.0,33.0,10000.0,834.0,25.272728,-59.0,-58.78125,,,68.69521,0.001,0.09984988,,,
42.0,20.0,34.0,10000.0,854.0,25.117647,-59.0,-58.78788,,,68.69521,0.001,0.09984628,,,
43.0,20.0,34.0,10000.0,874.0,25.705883,-59.0,-58.794117,,,68.69521,0.001,0.09984268,,,
44.0,20.0,34.0,10000.0,894.0,26.294117,-59.0,-58.8,,,68.69521,0.001,0.09983908,,,
45.0,20.0,34.0,10000.0,914.0,26.882353,-59.0,-58.805557,,,68.69521,0.001,0.09983548,,,
46.0,20.0,34.0,10000.0,934.0,27.470589,-59.0,-58.81081,,,68.69521,0.001,0.09983188,,,
47.0,20.0,34.0,10000.0,954.0,28.058823,-59.0,-58.81579,,,68.69521,0.001,0.09982828,,,
48.0,20.0,34.0,10000.0,974.0,28.647058,-59.0,-58.820515,,,68.69521,0.001,0.09982468,,,
49.0,20.0,35.0,10000.0,994.0,28.4,-59.0,-58.825,,,68.69521,0.001,0.09982108,,,
50.0,20.0,51.0,12500.0,1014.0,19.882353,-53.0,-58.682926,,,73.01748,0.001,0.09981748,,,
51.0,20.0,51.0,12500.0,1034.0,20.27451,-59.0,-58.690475,,,73.01748,0.001,0.09981388,,,
52.0,20.0,52.0,12500.0,1054.0,20.26923,-59.0,-58.697674,,,73.01748,0.001,0.09981028,,,
