epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
35.0,5.0,90.0,2500.0,501.0,5.5666666,76.0,76.0,,,1222.6334,0.00055,,0.001,4.0812774,
36.0,20.0,90.0,2500.0,521.0,5.788889,-59.0,8.5,,,1222.6334,0.00055,,0.001,4.0812774,
37.0,12.0,91.0,2500.0,533.0,5.857143,69.0,28.666666,,,1222.6334,0.00055,,0.001,4.0812774,
38.0,20.0,91.0,2500.0,553.0,6.076923,-59.0,6.75,,,1222.6334,0.00055,,0.001,4.0812774,
39.0,4.0,92.0,2500.0,557.0,6.054348,-43.0,-3.2,,,1222.6334,0.00055,,0.001,4.0812774,
40.0,11.0,92.0,2500.0,568.0,6.173913,70.0,9.0,,,1222.6334,0.00055,,0.001,4.0812774,
41.0,20.0,93.0,2500.0,588.0,6.322581,-59.0,-0.71428573,,,1222.6334,0.00055,,0.001,4.0812774,
42.0,13.0,93.0,2500.0,601.0,6.4623656,68.0,7.875,,,1222.6334,0.00055,,0.001,4.0812774,
43.0,20.0,94.0,2500.0,621.0,6.606383,-59.0,0.44444445,,,1222.6334,0.00055,,0.001,4.0812774,
44.0,20.0,95.0,2500.0,641.0,6.7473683,-59.0,-5.5,,,1222.6334,0.00055,,0.001,4.0812774,
45.0,20.0,95.0,2500.0,661.0,6.957895,-59.0,-10.363636,,,1222.6334,0.00055,,0.001,4.0812774,
46.0,20.0,96.0,2500.0,681.0,7.09375,-59.0,-14.416667,,,1222.6334,0.00055,,0.001,4.0812774,
47.0,19.0,96.0,2500.0,700.0,7.2916665,-58.0,-17.76923,,,1222.6334,0.00055,,0.001,4.0812774,
48.0,16.0,96.0,2500.0,716.0,7.4583335,-55.0,-20.428572,,,1222.6334,0.00055,,0.001,4.0812774,
49.0,9.0,96.0,2500.0,725.0,7.5520835,72.0,-14.266666,,,1222.6334,0.00055,,0.001,4.0812774,
50.0,10.0,97.0,2500.0,735.0,7.5773196,71.0,-8.9375,,,1222.6334,0.00055,,0.001,4.0812774,
51.0,20.0,97.0,2500.0,755.0,7.783505,-59.0,-11.882353,,,1222.6334,0.00055,,0.001,4.0812774,
52.0,1.0,97.0,2500.0,756.0,7.7938147,-40.0,-13.444445,,,1222.6334,0.00055,,0.001,4.0812774,
53.0,20.0,98.0,2500.0,776.0,7.9183674,-59.0,-15.842105,,,1222.6334,0.00055,,0.001,4.0812774,
54.0,20.0,100.0,2500.0,796.0,7.96,-59.0,-18.0,,,1222.6334,0.00055,,0.001,4.0812774,
55.0,20.0,100.0,2500.0,816.0,8.16,-59.0,-19.952381,,,1222.6334,0.00055,,0.001,4.0812774,
56.0,20.0,101.0,2500.0,836.0,8.277227,-59.0,-21.727272,,,1222.6334,0.00055,,0.001,4.0812774,
57.0,20.0,101.0,2500.0,856.0,8.475247,-59.0,-23.347826,,,1222.6334,0.00055,,0.001,4.0812774,
58.0,20.0,101.0,2500.0,876.0,8.673267,-59.0,-24.833334,,,1222.6334,0.00055,,0.001,4.0812774,
59.0,20.0,101.0,2500.0,896.0,8.871287,-59.0,-26.2,,,1222.6334,0.00055,,0.001,4.0812774,
60.0,20.0,102.0,2500.0,916.0,8.980392,-59.0,-27.461538,,,1222.6334,0.00055,,0.001,4.0812774,
61.0,20.0,102.0,2500.0,936.0,9.176471,-59.0,-28.62963,,,1222.6334,0.00055,,0.001,4.0812774,
62.0,20.0,102.0,2500.0,956.0,9.372549,-59.0,-29.714285,,,1222.6334,0.00055,,0.001,4.0812774,
63.0,10.0,102.0,2500.0,966.0,9.470589,71.0,-26.241379,,,1222.6334,0.00055,,0.001,4.0812774,
64.0,17.0,103.0,2500.0,983.0,9.54369,64.0,-23.233334,,,1222.6334,0.00055,,0.001,4.0812774,
65.0,20.0,136.0,5000.0,1003.0,7.375,-42.0,-23.838709,,,988.2609,0.00055,,0.001,4.223681,
66.0,20.0,136.0,5000.0,1023.0,7.522059,-59.0,-24.9375,,,988.2609,0.00055,,0.001,4.223681,
67.0,1.0,136.0,5000.0,1024.0,7.529412,80.0,-21.757576,,,988.2609,0.00055,,0.001,4.223681,
68.0,15.0,136.0,5000.0,1039.0,7.6397057,-54.0,-22.705883,,,988.2609,0.00055,,0.001,4.223681,
69.0,20.0,136.0,5000.0,1059.0,7.7867646,-59.0,-23.742857,,,988.2609,0.00055,,0.001,4.223681,
70.0,17.0,137.0,5000.0,1076.0,7.8540144,64.0,-21.305555,,,988.2609,0.00055,,0.001,4.223681,
71.0,18.0,137.0,5000.0,1094.0,7.9854016,63.0,-19.027027,,,988.2609,0.00055,,0.001,4.223681,
72.0,12.0,137.0,5000.0,1106.0,8.072992,69.0,-16.710526,,,988.2609,0.00055,,0.001,4.223681,
73.0,10.0,138.0,5000.0,1116.0,8.086957,71.0,-14.461538,,,988.2609,0.00055,,0.001,4.223681,
74.0,15.0,138.0,5000.0,1131.0,8.195652,-54.0,-15.45,,,988.2609,0.00055,,0.001,4.223681,
75.0,10.0,138.0,5000.0,1141.0,8.268116,-49.0,-16.268293,,,988.2609,0.00055,,0.001,4.223681,
76.0,1.0,138.0,5000.0,1142.0,8.275362,-40.0,-16.833334,,,988.2609,0.00055,,0.001,4.223681,
77.0,15.0,138.0,5000.0,1157.0,8.384058,66.0,-14.906977,,,988.2609,0.00055,,0.001,4.223681,
78.0,6.0,139.0,5000.0,1163.0,8.366906,-45.0,-15.590909,,,988.2609,0.00055,,0.001,4.223681,
79.0,10.0,139.0,5000.0,1173.0,8.4388485,71.0,-13.666667,,,988.2609,0.00055,,0.001,4.223681,
80.0,12.0,139.0,5000.0,1185.0,8.52518,69.0,-11.869565,,,988.2609,0.00055,,0.001,4.223681,
81.0,9.0,139.0,5000.0,1194.0,8.589928,-48.0,-12.638298,,,988.2609,0.00055,,0.001,4.223681,
82.0,20.0,139.0,5000.0,1214.0,8.733813,-59.0,-13.604167,,,988.2609,0.00055,,0.001,4.223681,
83.0,1.0,139.0,5000.0,1215.0,8.741007,-40.0,-14.142858,,,988.2609,0.00055,,0.001,4.223681,
84.0,14.0,140.0,5000.0,1229.0,8.778571,67.0,-12.52,,,988.2609,0.00055,,0.001,4.223681,
85.0,20.0,140.0,5000.0,1249.0,8.921429,-59.0,-13.431373,,,988.2609,0.00055,,0.001,4.223681,
86.0,20.0,140.0,5000.0,1269.0,9.064285,-59.0,-14.307693,,,988.2609,0.00055,,0.001,4.223681,
