epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
12.0,20.0,423.0,2500.0,212.0,0.501182,-59.0,-59.0,,,97.134315,0.001,0.09996184,,,
13.0,20.0,423.0,2500.0,232.0,0.54846334,-59.0,-59.0,,,97.134315,0.001,0.09995824,,,
14.0,20.0,423.0,2500.0,252.0,0.59574467,-59.0,-59.0,,,97.134315,0.001,0.09995464,,,
15.0,20.0,423.0,2500.0,272.0,0.643026,-59.0,-59.0,,,97.134315,0.001,0.09995104,,,
16.0,20.0,423.0,2500.0,292.0,0.6903073,-59.0,-59.0,,,97.134315,0.001,0.09994744,,,
17.0,20.0,423.0,2500.0,312.0,0.73758864,-59.0,-59.0,,,97.134315,0.001,0.09994384,,,
18.0,20.0,423.0,2500.0,332.0,0.78486997,-59.0,-59.0,,,97.134315,0.001,0.09994024,,,
19.0,20.0,424.0,2500.0,352.0,0.8301887,-59.0,-59.0,,,97.134315,0.001,0.09993664,,,
20.0,20.0,424.0,2500.0,372.0,0.8773585,-59.0,-59.0,,,97.134315,0.001,0.09993304,,,
21.0,20.0,424.0,2500.0,392.0,0.9245283,-59.0,-59.0,,,97.134315,0.001,0.09992944,,,
22.0,20.0,426.0,5000.0,412.0,0.96713614,-59.0,-59.0,,,91.93865,0.001,0.09992584,,,
23.0,20.0,426.0,5000.0,432.0,1.0140845,-59.0,-59.0,,,91.93865,0.001,0.09992224,,,
24.0,3.0,426.0,5000.0,435.0,1.0211267,78.0,-48.46154,,,91.93865,0.001,0.0999217,,,
25.0,20.0,426.0,5000.0,455.0,1.0680751,-59.0,-49.214287,,,91.93865,0.001,0.0999181,,,
26.0,20.0,426.0,5000.0,475.0,1.1150235,-59.0,-49.866665,,,91.93865,0.001,0.0999145,,,
27.0,20.0,426.0,5000.0,495.0,1.1619718,-59.0,-50.4375,,,91.93865,0.001,0.0999109,,,
28.0,20.0,426.0,5000.0,515.0,1.2089202,-59.0,-50.941177,,,91.93865,0.001,0.0999073,,,
29.0,20.0,426.0,5000.0,535.0,1.2558686,-59.0,-51.38889,,,91.93865,0.001,0.0999037,,,
30.0,20.0,427.0,5000.0,555.0,1.2997658,-59.0,-51.789474,,,91.93865,0.001,0.0999001,,,
31.0,20.0,427.0,5000.0,575.0,1.3466042,-59.0,-52.15,,,91.93865,0.001,0.0998965,,,
32.0,20.0,427.0,5000.0,595.0,1.3934426,-59.0,-52.47619,,,91.93865,0.001,0.0998929,,,
33.0,20.0,429.0,7500.0,615.0,1.4335665,-59.0,-52.772728,,,94.98241,0.001,0.0998893,,,
34.0,20.0,429.0,7500.0,635.0,1.4801865,-59.0,-53.04348,,,94.98241,0.001,0.0998857,,,
35.0,3.0,429.0,7500.0,638.0,1.4871795,78.0,-47.583332,,,94.98241,0.001,0.09988516,,,
36.0,20.0,429.0,7500.0,658.0,1.5337995,-59.0,-48.04,,,94.98241,0.001,0.09988156,,,
37.0,20.0,429.0,7500.0,678.0,1.5804195,-59.0,-48.46154,,,94.98241,0.001,0.09987796,,,
