epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
36.0,20.0,115.0,2500.0,515.0,4.478261,-59.0,-59.0,,,1342.3615,0.00055,,0.001,4.032591,
37.0,11.0,116.0,2500.0,526.0,4.534483,70.0,5.5,,,1342.3615,0.00055,,0.001,4.032591,
38.0,20.0,117.0,2500.0,546.0,4.6666665,-59.0,-16.0,,,1342.3615,0.00055,,0.001,4.032591,
39.0,20.0,117.0,2500.0,566.0,4.837607,-59.0,-26.75,,,1342.3615,0.00055,,0.001,4.032591,
40.0,1.0,117.0,2500.0,567.0,4.8461537,-40.0,-29.4,,,1342.3615,0.00055,,0.001,4.032591,
41.0,20.0,118.0,2500.0,587.0,4.9745765,-59.0,-34.333332,,,1342.3615,0.00055,,0.001,4.032591,
42.0,13.0,118.0,2500.0,600.0,5.084746,-52.0,-36.857143,,,1342.3615,0.00055,,0.001,4.032591,
43.0,18.0,119.0,2500.0,618.0,5.1932774,63.0,-24.375,,,1342.3615,0.00055,,0.001,4.032591,
44.0,20.0,120.0,2500.0,638.0,5.3166666,-59.0,-28.222221,,,1342.3615,0.00055,,0.001,4.032591,
45.0,5.0,120.0,2500.0,643.0,5.358333,-44.0,-29.8,,,1342.3615,0.00055,,0.001,4.032591,
46.0,20.0,120.0,2500.0,663.0,5.525,-59.0,-32.454544,,,1342.3615,0.00055,,0.001,4.032591,
47.0,14.0,120.0,2500.0,677.0,5.641667,-53.0,-34.166668,,,1342.3615,0.00055,,0.001,4.032591,
48.0,18.0,122.0,2500.0,695.0,5.696721,63.0,-26.692308,,,1342.3615,0.00055,,0.001,4.032591,
49.0,9.0,122.0,2500.0,704.0,5.7704916,72.0,-19.642857,,,1342.3615,0.00055,,0.001,4.032591,
50.0,20.0,123.0,2500.0,724.0,5.886179,-59.0,-22.266666,,,1342.3615,0.00055,,0.001,4.032591,
51.0,20.0,123.0,2500.0,744.0,6.0487804,-59.0,-24.5625,,,1342.3615,0.00055,,0.001,4.032591,
52.0,7.0,123.0,2500.0,751.0,6.105691,74.0,-18.764706,,,1342.3615,0.00055,,0.001,4.032591,
53.0,20.0,124.0,2500.0,771.0,6.217742,-59.0,-21.0,,,1342.3615,0.00055,,0.001,4.032591,
54.0,20.0,125.0,2500.0,791.0,6.328,-59.0,-23.0,,,1342.3615,0.00055,,0.001,4.032591,
55.0,20.0,127.0,2500.0,811.0,6.3858266,-59.0,-24.8,,,1342.3615,0.00055,,0.001,4.032591,
56.0,2.0,127.0,2500.0,813.0,6.4015746,-41.0,-25.571428,,,1342.3615,0.00055,,0.001,4.032591,
57.0,20.0,127.0,2500.0,833.0,6.5590553,-59.0,-27.09091,,,1342.3615,0.00055,,0.001,4.032591,
58.0,20.0,127.0,2500.0,853.0,6.7165356,-59.0,-28.47826,,,1342.3615,0.00055,,0.001,4.032591,
59.0,20.0,128.0,2500.0,873.0,6.8203125,-59.0,-29.75,,,1342.3615,0.00055,,0.001,4.032591,
60.0,16.0,128.0,2500.0,889.0,6.9453125,65.0,-25.96,,,1342.3615,0.00055,,0.001,4.032591,
61.0,20.0,128.0,2500.0,909.0,7.1015625,-59.0,-27.23077,,,1342.3615,0.00055,,0.001,4.032591,
62.0,20.0,129.0,2500.0,929.0,7.2015505,-59.0,-28.407408,,,1342.3615,0.00055,,0.001,4.032591,
63.0,16.0,129.0,2500.0,945.0,7.3255816,-55.0,-29.357143,,,1342.3615,0.00055,,0.001,4.032591,
64.0,6.0,129.0,2500.0,951.0,7.372093,-45.0,-29.896551,,,1342.3615,0.00055,,0.001,4.032591,
65.0,20.0,130.0,2500.0,971.0,7.4692307,-59.0,-30.866667,,,1342.3615,0.00055,,0.001,4.032591,
66.0,20.0,130.0,2500.0,991.0,7.623077,-59.0,-31.774193,,,1342.3615,0.00055,,0.001,4.032591,
67.0,1.0,130.0,2500.0,992.0,7.6307693,80.0,-28.28125,,,1342.3615,0.00055,,0.001,4.032591,
68.0,20.0,307.0,5000.0,1012.0,3.296417,-51.0,-28.969696,,,888.92426,0.00055,,0.001,4.137753,
69.0,20.0,307.0,5000.0,1032.0,3.3615634,-59.0,-29.852942,,,888.92426,0.00055,,0.001,4.137753,
