epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
10.0,20.0,12.0,10000.0,203.0,16.916666,-59.0,-59.0,,,300.88385,0.001,0.09996346,,,
11.0,20.0,12.0,10000.0,223.0,18.583334,-59.0,-59.0,,,300.88385,0.001,0.09995986,,,
12.0,20.0,12.0,10000.0,243.0,20.25,-59.0,-59.0,,,300.88385,0.001,0.09995626,,,
13.0,3.0,12.0,10000.0,246.0,20.5,-42.0,-54.75,,,300.88385,0.001,0.09995572,,,
14.0,20.0,12.0,10000.0,266.0,22.166666,-59.0,-55.6,,,300.88385,0.001,0.09995212,,,
15.0,20.0,12.0,10000.0,286.0,23.833334,-59.0,-56.166668,,,300.88385,0.001,0.09994852,,,
16.0,20.0,12.0,10000.0,306.0,25.5,-59.0,-56.57143,,,300.88385,0.001,0.09994492,,,
17.0,20.0,12.0,10000.0,326.0,27.166666,-59.0,-56.875,,,300.88385,0.001,0.09994132,,,
18.0,20.0,13.0,10000.0,346.0,26.615385,-59.0,-57.11111,,,300.88385,0.001,0.09993772,,,
19.0,20.0,13.0,10000.0,366.0,28.153847,-59.0,-57.3,,,300.88385,0.001,0.09993412,,,
20.0,20.0,13.0,10000.0,386.0,29.692308,-59.0,-57.454544,,,300.88385,0.001,0.09993052,,,
21.0,20.0,19.0,20000.0,406.0,21.368422,-59.0,-57.583332,,,356.9342,0.001,0.09992692,,,
22.0,20.0,20.0,20000.0,426.0,21.3,-59.0,-57.692307,,,356.9342,0.001,0.09992332,,,
23.0,20.0,20.0,20000.0,446.0,22.3,-59.0,-57.785713,,,356.9342,0.001,0.09991972,,,
24.0,20.0,20.0,20000.0,466.0,23.3,-59.0,-57.866665,,,356.9342,0.001,0.09991612,,,
25.0,20.0,20.0,20000.0,486.0,24.3,-59.0,-57.9375,,,356.9342,0.001,0.09991252,,,
26.0,20.0,20.0,20000.0,506.0,25.3,-59.0,-58.0,,,356.9342,0.001,0.09990892,,,
27.0,20.0,21.0,20000.0,526.0,25.047619,-59.0,-58.055557,,,356.9342,0.001,0.09990532,,,
28.0,20.0,21.0,20000.0,546.0,26.0,-59.0,-58.105263,,,356.9342,0.001,0.09990172,,,
29.0,20.0,21.0,20000.0,566.0,26.952381,-59.0,-58.15,,,356.9342,0.001,0.09989812,,,
30.0,20.0,21.0,20000.0,586.0,27.904762,-59.0,-58.190475,,,356.9342,0.001,0.09989452,,,
31.0,20.0,28.0,30000.0,606.0,21.642857,-59.0,-58.227272,,,297.36646,0.001,0.09989092,,,
32.0,20.0,28.0,30000.0,626.0,22.357143,-59.0,-58.260868,,,297.36646,0.001,0.09988732,,,
33.0,20.0,28.0,30000.0,646.0,23.071428,-59.0,-58.291668,,,297.36646,0.001,0.09988372,,,
34.0,20.0,28.0,30000.0,666.0,23.785715,-59.0,-58.32,,,297.36646,0.001,0.09988012,,,
35.0,1.0,28.0,30000.0,667.0,23.821428,80.0,-53.0,,,297.36646,0.001,0.09987994,,,
36.0,20.0,28.0,30000.0,687.0,24.535715,-59.0,-53.22222,,,297.36646,0.001,0.09987634,,,
37.0,20.0,29.0,30000.0,707.0,24.37931,-59.0,-53.42857,,,297.36646,0.001,0.09987274,,,
38.0,20.0,29.0,30000.0,727.0,25.068966,-59.0,-53.62069,,,297.36646,0.001,0.09986914,,,
39.0,20.0,29.0,30000.0,747.0,25.758621,-59.0,-53.8,,,297.36646,0.001,0.09986554,,,
40.0,20.0,30.0,30000.0,767.0,25.566668,-59.0,-53.967743,,,297.36646,0.001,0.09986194,,,
41.0,20.0,31.0,30000.0,787.0,25.387096,-59.0,-54.125,,,297.36646,0.001,0.09985834,,,
42.0,20.0,37.0,40000.0,807.0,21.81081,-59.0,-54.272728,,,306.8623,0.001,0.09985474,,,
43.0,20.0,37.0,40000.0,827.0,22.35135,-59.0,-54.411766,,,306.8623,0.001,0.09985114,,,
44.0,20.0,38.0,40000.0,847.0,22.289474,-59.0,-54.54286,,,306.8623,0.001,0.09984754,,,
45.0,20.0,38.0,40000.0,867.0,22.81579,-59.0,-54.666668,,,306.8623,0.001,0.09984394,,,
46.0,20.0,38.0,40000.0,887.0,23.342106,-59.0,-54.783783,,,306.8623,0.001,0.09984034,,,
47.0,20.0,38.0,40000.0,907.0,23.868422,-59.0,-54.894737,,,306.8623,0.001,0.09983674,,,
48.0,20.0,39.0,40000.0,927.0,23.76923,-59.0,-55.0,,,306.8623,0.001,0.09983314,,,
49.0,20.0,39.0,40000.0,947.0,24.282051,-59.0,-55.1,,,306.8623,0.001,0.09982954,,,
50.0,20.0,39.0,40000.0,967.0,24.794872,-59.0,-55.19512,,,306.8623,0.001,0.09982594,,,
51.0,20.0,39.0,40000.0,987.0,25.307692,-59.0,-55.285713,,,306.8623,0.001,0.09982234,,,
52.0,20.0,69.0,50000.0,1007.0,14.594203,-46.0,-55.069767,,,593.00616,0.001,0.09981874,,,
53.0,20.0,70.0,50000.0,1027.0,14.671429,-59.0,-55.159092,,,593.00616,0.001,0.09981514,,,
54.0,20.0,70.0,50000.0,1047.0,14.957143,-59.0,-55.244446,,,593.00616,0.001,0.09981154,,,
55.0,20.0,70.0,50000.0,1067.0,15.242857,-59.0,-55.326088,,,593.00616,0.001,0.09980794,,,
56.0,20.0,71.0,50000.0,1087.0,15.309859,-59.0,-55.404255,,,593.00616,0.001,0.09980434,,,
57.0,20.0,71.0,50000.0,1107.0,15.591549,-59.0,-55.479168,,,593.00616,0.001,0.09980074,,,
58.0,20.0,71.0,50000.0,1127.0,15.8732395,-59.0,-55.55102,,,593.00616,0.001,0.09979714,,,
59.0,20.0,71.0,50000.0,1147.0,16.15493,-59.0,-55.62,,,593.00616,0.001,0.09979354,,,
60.0,20.0,71.0,50000.0,1167.0,16.436619,-59.0,-55.686275,,,593.00616,0.001,0.09978994,,,
61.0,20.0,71.0,50000.0,1187.0,16.71831,-59.0,-55.75,,,593.00616,0.001,0.09978634,,,
62.0,20.0,78.0,60000.0,1207.0,15.474359,-59.0,-55.81132,,,493.78366,0.001,0.09978274,,,
63.0,20.0,78.0,60000.0,1227.0,15.730769,-59.0,-55.87037,,,493.78366,0.001,0.09977914,,,
64.0,20.0,78.0,60000.0,1247.0,15.98718,-59.0,-55.927273,,,493.78366,0.001,0.09977554,,,
65.0,20.0,78.0,60000.0,1267.0,16.24359,-59.0,-55.982143,,,493.78366,0.001,0.09977194,,,
66.0,20.0,78.0,60000.0,1287.0,16.5,-59.0,-56.035088,,,493.78366,0.001,0.09976834,,,
67.0,20.0,78.0,60000.0,1307.0,16.75641,-59.0,-56.08621,,,493.78366,0.001,0.09976474,,,
68.0,20.0,79.0,60000.0,1327.0,16.797468,-59.0,-56.135593,,,493.78366,0.001,0.09976114,,,
69.0,20.0,79.0,60000.0,1347.0,17.050632,-59.0,-56.183334,,,493.78366,0.001,0.09975754,,,
70.0,20.0,79.0,60000.0,1367.0,17.303797,-59.0,-56.229507,,,493.78366,0.001,0.09975394,,,
71.0,20.0,79.0,60000.0,1387.0,17.556963,-59.0,-56.274193,,,493.78366,0.001,0.09975034,,,
72.0,20.0,86.0,70000.0,1407.0,16.360466,-59.0,-56.31746,,,488.24432,0.001,0.09974674,,,
73.0,20.0,87.0,70000.0,1427.0,16.402298,-59.0,-56.359375,,,488.24432,0.001,0.09974314,,,
74.0,20.0,87.0,70000.0,1447.0,16.632183,-59.0,-56.4,,,488.24432,0.001,0.09973954,,,
75.0,20.0,87.0,70000.0,1467.0,16.862068,-59.0,-56.439392,,,488.24432,0.001,0.09973594,,,
76.0,20.0,87.0,70000.0,1487.0,17.091953,-59.0,-56.47761,,,488.24432,0.001,0.09973234,,,
