epi,t,wall_t,opt_step,frame,fps,total_reward,avg_return,avg_len,avg_success,loss,lr,explore_var,entropy_coef,entropy,grad_norm
10.0,20.0,5.0,2500.0,221.0,44.2,-59.0,-59.0,,,81.495705,0.001,0.09996022,,,
11.0,20.0,5.0,2500.0,241.0,48.2,-59.0,-59.0,,,81.495705,0.001,0.09995662,,,
12.0,20.0,5.0,2500.0,261.0,52.2,-59.0,-59.0,,,81.495705,0.001,0.09995302,,,
13.0,20.0,5.0,2500.0,281.0,56.2,-59.0,-59.0,,,81.495705,0.001,0.09994942,,,
14.0,20.0,5.0,2500.0,301.0,60.2,-59.0,-59.0,,,81.495705,0.001,0.09994582,,,
15.0,20.0,5.0,2500.0,321.0,64.2,-59.0,-59.0,,,81.495705,0.001,0.09994222,,,
16.0,20.0,5.0,2500.0,341.0,68.2,-59.0,-59.0,,,81.495705,0.001,0.09993862,,,
17.0,20.0,5.0,2500.0,361.0,72.2,-59.0,-59.0,,,81.495705,0.001,0.09993502,,,
18.0,20.0,5.0,2500.0,381.0,76.2,-59.0,-59.0,,,81.495705,0.001,0.09993142,,,
19.0,20.0,6.0,2500.0,401.0,66.833336,-59.0,-59.0,,,81.495705,0.001,0.09992782,,,
20.0,20.0,8.0,5000.0,421.0,52.625,-59.0,-59.0,,,76.52611,0.001,0.09992422,,,
21.0,20.0,8.0,5000.0,441.0,55.125,-59.0,-59.0,,,76.52611,0.001,0.09992062,,,
22.0,20.0,8.0,5000.0,461.0,57.625,-59.0,-59.0,,,76.52611,0.001,0.09991702,,,
23.0,20.0,8.0,5000.0,481.0,60.125,-59.0,-59.0,,,76.52611,0.001,0.09991342,,,
24.0,20.0,8.0,5000.0,501.0,62.625,-59.0,-59.0,,,76.52611,0.001,0.09990982,,,
25.0,20.0,8.0,5000.0,521.0,65.125,-59.0,-59.0,,,76.52611,0.001,0.09990622,,,
26.0,20.0,8.0,5000.0,541.0,67.625,-59.0,-59.0,,,76.52611,0.001,0.09990262,,,
27.0,20.0,8.0,5000.0,561.0,70.125,-59.0,-59.0,,,76.52611,0.001,0.09989902,,,
28.0,20.0,8.0,5000.0,581.0,72.625,-59.0,-59.0,,,76.52611,0.001,0.09989542,,,
29.0,20.0,9.0,5000.0,601.0,66.77778,-59.0,-59.0,,,76.52611,0.001,0.09989182,,,
30.0,20.0,11.0,7500.0,621.0,56.454544,-59.0,-59.0,,,74.931076,0.001,0.09988822,,,
31.0,20.0,11.0,7500.0,641.0,58.272728,-59.0,-59.0,,,74.931076,0.001,0.09988462,,,
32.0,20.0,11.0,7500.0,661.0,60.090908,-59.0,-59.0,,,74.931076,0.001,0.09988102,,,
33.0,20.0,11.0,7500.0,681.0,61.909092,-59.0,-59.0,,,74.931076,0.001,0.09987742,,,
34.0,20.0,11.0,7500.0,701.0,63.727272,-59.0,-59.0,,,74.931076,0.001,0.09987382,,,
35.0,9.0,11.0,7500.0,710.0,64.545456,-48.0,-58.576923,,,74.931076,0.001,0.0998722,,,
36.0,20.0,11.0,7500.0,730.0,66.36364,-59.0,-58.592594,,,74.931076,0.001,0.0998686,,,
37.0,20.0,11.0,7500.0,750.0,68.181816,-59.0,-58.607143,,,74.931076,0.001,0.099865,,,
38.0,20.0,12.0,7500.0,770.0,64.166664,-59.0,-58.62069,,,74.931076,0.001,0.0998614,,,
39.0,20.0,12.0,7500.0,790.0,65.833336,-59.0,-58.633335,,,74.931076,0.001,0.0998578,,,
40.0,20.0,14.0,10000.0,810.0,57.857143,-59.0,-58.64516,,,76.296074,0.001,0.0998542,,,
41.0,20.0,14.0,10000.0,830.0,59.285713,-59.0,-58.65625,,,76.296074,0.001,0.0998506,,,
42.0,20.0,14.0,10000.0,850.0,60.714287,-59.0,-58.666668,,,76.296074,0.001,0.099847,,,
43.0,20.0,14.0,10000.0,870.0,62.142857,-59.0,-58.67647,,,76.296074,0.001,0.0998434,,,
44.0,20.0,15.0,10000.0,890.0,59.333332,-59.0,-58.685715,,,76.296074,0.001,0.0998398,,,
45.0,20.0,15.0,10000.0,910.0,60.666668,-59.0,-58.694443,,,76.296074,0.001,0.0998362,,,
46.0,20.0,15.0,10000.0,930.0,62.0,-59.0,-58.7027,,,76.296074,0.001,0.0998326,,,
47.0,20.0,15.0,10000.0,950.0,63.333332,-59.0,-58.710526,,,76.296074,0.001,0.099829,,,
48.0,20.0,15.0,10000.0,970.0,64.666664,-59.0,-58.71795,,,76.296074,0.001,0.0998254,,,
49.0,20.0,16.0,10000.0,990.0,61.875,-59.0,-58.725,,,76.296074,0.001,0.0998218,,,
50.0,20.0,33.0,12500.0,1010.0,30.60606,-49.0,-58.487804,,,82.24081,0.001,0.0998182,,,
51.0,20.0,33.0,12500.0,1030.0,31.212122,-59.0,-58.5,,,82.24081,0.001,0.0998146,,,
52.0,20.0,33.0,12500.0,1050.0,31.818182,-59.0,-58.511627,,,82.24081,0.001,0.099811,,,
53.0,20.0,33.0,12500.0,1070.0,32.424244,-59.0,-58.522728,,,82.24081,0.001,0.0998074,,,
54.0,20.0,34.0,12500.0,1090.0,32.058823,-59.0,-58.533333,,,82.24081,0.001,0.0998038,,,
55.0,20.0,34.0,12500.0,1110.0,32.64706,-59.0,-58.54348,,,82.24081,0.001,0.0998002,,,
56.0,20.0,34.0,12500.0,1130.0,33.235294,-59.0,-58.553192,,,82.24081,0.001,0.0997966,,,
57.0,20.0,34.0,12500.0,1150.0,33.82353,-59.0,-58.5625,,,82.24081,0.001,0.099793,,,
58.0,20.0,34.0,12500.0,1170.0,34.411766,-59.0,-58.57143,,,82.24081,0.001,0.0997894,,,
59.0,20.0,34.0,12500.0,1190.0,35.0,-59.0,-58.58,,,82.24081,0.001,0.0997858,,,
60.0,20.0,37.0,15000.0,1210.0,32.7027,-59.0,-58.588234,,,80.93157,0.001,0.0997822,,,
61.0,20.0,37.0,15000.0,1230.0,33.243244,-59.0,-58.596153,,,80.93157,0.001,0.0997786,,,
62.0,20.0,37.0,15000.0,1250.0,33.783783,-59.0,-58.603775,,,80.93157,0.001,0.099775,,,
63.0,20.0,37.0,15000.0,1270.0,34.324326,-59.0,-58.61111,,,80.93157,0.001,0.0997714,,,
64.0,20.0,37.0,15000.0,1290.0,34.864864,-59.0,-58.618183,,,80.93157,0.001,0.0997678,,,
65.0,20.0,37.0,15000.0,1310.0,35.405407,-59.0,-58.625,,,80.93157,0.001,0.0997642,,,
66.0,20.0,37.0,15000.0,1330.0,35.945946,-59.0,-58.63158,,,80.93157,0.001,0.0997606,,,
67.0,20.0,37.0,15000.0,1350.0,36.48649,-59.0,-58.63793,,,80.93157,0.001,0.099757,,,
68.0,20.0,37.0,15000.0,1370.0,37.027027,-59.0,-58.64407,,,80.93157,0.001,0.0997534,,,
69.0,20.0,37.0,15000.0,1390.0,37.567566,-59.0,-58.65,,,80.93157,0.001,0.0997498,,,
70.0,20.0,39.0,17500.0,1410.0,36.153847,-59.0,-58.65574,,,69.11991,0.001,0.0997462,,,
71.0,20.0,39.0,17500.0,1430.0,36.666668,-59.0,-58.66129,,,69.11991,0.001,0.0997426,,,
72.0,20.0,40.0,17500.0,1450.0,36.25,-59.0,-58.666668,,,69.11991,0.001,0.099739,,,
73.0,20.0,40.0,17500.0,1470.0,36.75,-59.0,-58.671875,,,69.11991,0.001,0.0997354,,,
74.0,20.0,40.0,17500.0,1490.0,37.25,-59.0,-58.67692,,,69.11991,0.001,0.0997318,,,
75.0,20.0,40.0,17500.0,1510.0,37.75,-59.0,-58.68182,,,69.11991,0.001,0.0997282,,,
76.0,20.0,40.0,17500.0,1530.0,38.25,-59.0,-58.686565,,,69.11991,0.001,0.0997246,,,
77.0,20.0,40.0,17500.0,1550.0,38.75,-59.0,-58.691177,,,69.11991,0.001,0.099721,,,
78.0,20.0,40.0,17500.0,1570.0,39.25,-59.0,-58.695652,,,69.11991,0.001,0.0997174,,,
79.0,20.0,40.0,17500.0,1590.0,39.75,-59.0,-58.7,,,69.11991,0.001,0.0997138,,,
80.0,20.0,42.0,20000.0,1610.0,38.333332,-59.0,-58.704224,,,77.926605,0.001,0.0997102,,,
81.0,20.0,42.0,20000.0,1630.0,38.809525,-59.0,-58.708332,,,77.926605,0.001,0.0997066,,,
82.0,20.0,43.0,20000.0,1650.0,38.372093,-59.0,-58.71233,,,77.926605,0.001,0.099703,,,
83.0,20.0,43.0,20000.0,1670.0,38.837208,-59.0,-58.716217,,,77.926605,0.001,0.0996994,,,
84.0,20.0,43.0,20000.0,1690.0,39.302326,-59.0,-58.72,,,77.926605,0.001,0.0996958,,,
85.0,20.0,43.0,20000.0,1710.0,39.76744,-59.0,-58.723682,,,77.926605,0.001,0.0996922,,,
86.0,20.0,43.0,20000.0,1730.0,40.23256,-59.0,-58.727272,,,77.926605,0.001,0.0996886,,,
87.0,20.0,43.0,20000.0,1750.0,40.697674,-59.0,-58.73077,,,77.926605,0.001,0.099685,,,
88.0,20.0,43.0,20000.0,1770.0,41.162792,-59.0,-58.734177,,,77.926605,0.001,0.0996814,,,
89.0,20.0,44.0,20000.0,1790.0,40.68182,-59.0,-58.7375,,,77.926605,0.001,0.0996778,,,
90.0,20.0,46.0,22500.0,1810.0,39.347828,-59.0,-58.74074,,,71.70238,0.001,0.0996742,,,
91.0,20.0,46.0,22500.0,1830.0,39.782608,-59.0,-58.743904,,,71.70238,0.001,0.0996706,,,
92.0,20.0,46.0,22500.0,1850.0,40.217392,-59.0,-58.746986,,,71.70238,0.001,0.099667,,,
93.0,20.0,46.0,22500.0,1870.0,40.652172,-59.0,-58.75,,,71.70238,0.001,0.0996634,,,
94.0,20.0,46.0,22500.0,1890.0,41.086956,-59.0,-58.75294,,,71.70238,0.001,0.0996598,,,
95.0,20.0,46.0,22500.0,1910.0,41.52174,-59.0,-58.755814,,,71.70238,0.001,0.0996562,,,
96.0,20.0,46.0,22500.0,1930.0,41.95652,-59.0,-58.75862,,,71.70238,0.001,0.0996526,,,
97.0,20.0,47.0,22500.0,1950.0,41.48936,-59.0,-58.761364,,,71.70238,0.001,0.099649,,,
98.0,20.0,47.0,22500.0,1970.0,41.914894,-59.0,-58.764046,,,71.70238,0.001,0.0996454,,,
99.0,20.0,47.0,22500.0,1990.0,42.340427,-59.0,-58.766666,,,71.70238,0.001,0.0996418,,,
100.0,20.0,60.0,25000.0,2010.0,33.5,-49.0,-58.65934,,,79.964966,0.001,0.0996382,,,
101.0,20.0,60.0,25000.0,2030.0,33.833332,-59.0,-58.663044,,,79.964966,0.001,0.0996346,,,
102.0,6.0,60.0,25000.0,2036.0,33.933334,-45.0,-58.51613,,,79.964966,0.001,0.09963352,,,
103.0,20.0,60.0,25000.0,2056.0,34.266666,-59.0,-58.52128,,,79.964966,0.001,0.09962992,,,
104.0,20.0,60.0,25000.0,2076.0,34.6,-59.0,-58.526318,,,79.964966,0.001,0.09962632,,,
105.0,20.0,60.0,25000.0,2096.0,34.933334,-59.0,-58.53125,,,79.964966,0.001,0.09962272,,,
106.0,20.0,60.0,25000.0,2116.0,35.266666,-59.0,-58.536083,,,79.964966,0.001,0.09961912,,,
107.0,20.0,61.0,25000.0,2136.0,35.01639,-59.0,-58.540817,,,79.964966,0.001,0.09961552,,,
108.0,20.0,61.0,25000.0,2156.0,35.34426,-59.0,-58.545456,,,79.964966,0.001,0.09961192,,,
109.0,1.0,61.0,25000.0,2157.0,35.360657,80.0,-57.16,,,79.964966,0.001,0.09961174,,,
110.0,20.0,61.0,25000.0,2177.0,35.688526,-59.0,-57.16,,,79.964966,0.001,0.09960814,,,
